ids,text,labels,parents
Ori-E3-Sub,,"Accountant, Dentist, Math Teacher,<br>
Office Administrator, Police<br><br>

More (The Realist) :<br>
Accountant, Government, Military Officer, Auditor,<br>
Business Analyst, Physician, Librarian",Ori-E3
Ori-E4-Sub,,"Condoleeza Rice, Evander Holyfield, George Washington,<br>
Julia Roberts, Pope Benedict, Queen Elizabeth II, Richard Nixon,<br>
Robert De Niro, Sigmund Freud, Sting, Stonewall Jackson, Warren Buffett",Ori-E4
Ori-E5-Sub,,"He who labors diligently need never despair; for all<br>
things are accomplished by diligence and labor.<br>
- Menander",Ori-E5
Ori-E6-Sub,,,Ori-E6
Ori-F1-Sub,,"Extraverted Sensing Thinking Judging (ESTJ)<br><br>

Acronym : Elevated Stress Tightens Jaw<br><br>

ESTJ's are practical, realistic, and matter-of-fact, with a natural<br>
head for business or mechanics.<br><br>

ESTJ's take a practical approach to life that is guided by their matter-of-fact<br>
attitudes and focus on realism. They recognize tradition and prefer<br>
order which makes them strong leaders.<br><br>

They abhor laziness and cheating, and instead stick to their principles with<br>
unclouded judgment. They are often described by others<br>
as charismatic, focused and driven.",Ori-F1
Ori-F2-Sub,,"They naturally step into leadership roles.<br>
Live in a world of facts and concrete needs.<br>
The ESTJ is usually a model citizen.<br>
Potential to become overly detail-oriented.<br>",Ori-F2
Ori-F3-Sub,,"Business Administrator, Financial Officer,<br>
Office Manager, Military<br><br>

More (The Administrator) :<br>
Bank Manager, Judge, Lawyer, Prison Warden<br>
Athletic Director, School principal, Policeman",Ori-F3
Ori-F4-Sub,,"Andrew Jackson, Ann Coulter, Augusto Pinochet, Billy Graham,<br>
Daisy Ridley, Henry Ford, Hillary Clinton, Ivanka Trump,<br>
John Smoltz, Judge Judy, Martha Stewart, Saddam Hussein",Ori-F4
Ori-F5-Sub,,"In my mind nothing is more abhorrent that a life of ease. ...<br>
There is no place in civilization for the idler.<br>
- Henry Ford",Ori-F5
Ori-F6-Sub,,,Ori-F6
Ori-G1-Sub,,"Introverted Sensing Feeling Judging (ISFJ)<br><br>

Acronym : I Serve my Family Joyfully<br><br>

ISFJ's are interested in maintaining order and harmony in every aspect of their lives.<br>
They are steadfast and meticulous in handling their responsibilities.<br><br>

ISFJ's are warm-hearted and compassionate individuals who are<br>
always thinking of others before themselves.<br><br>

Emotionally oriented, ISFJ's are sensitive to other people's<br>
feelings and have a deep understanding of their own.",Ori-G1
Ori-G2-Sub,,"ISFJs want to believe the best of people.<br>
Have a rich but hidden inner world.<br>
ISFJs respect traditions and laws.<br>
Do not usually express their own feelings.<br>",Ori-G2
Ori-G3-Sub,,"Clergy, Interior Decorator, Librarian,<br>
Nurse, Office Administrator<br><br>

More (The Protector) :<br>
Historian, Nurse, Minister, Paralegal,<br>
Physical Therapist, Teacher, Social Worker",Ori-G3
Ori-G4-Sub,,"Jimmy Carter, Kate Middleton, Rosa Parks,<br>
Mother Teresa, Tiger Woods",Ori-G4
Ori-G5-Sub,,"So long as we love we serve; so long as we are loved by others,<br>
i would almost say that we are indispensable.<br>
- Robert Louis Stevenson",Ori-G5
Ori-G6-Sub,,,Ori-G6
Ori-H1-Sub,,"Extraverted Sensing Feeling Judging (ESFJ)<br><br>

Acronym : Especially Satisfied Fulfilling Jobs<br><br>

ESFJ's focus on the outside world and assess their experiences subjectively.<br><br>

They largely base their judgments on their belief system and on the effects of<br>
actions on people. ESFJ's are literal and concrete, trusting the specific,<br>
factual information gathered through their physiological senses.<br><br>

ESFJ's project warmth through a genuine interest in the well-being of others.<br>
They are often skilled at bringing out the best in people,<br>
and they want to understand other points of view.",Ori-H1
Ori-H2-Sub,,"Are people persons - they love people.<br>
Take their responsibilities very seriously.<br>
Get satisfaction others' happiness.<br>
Have a strong community-based moral code.<br>",Ori-H2
Ori-H3-Sub,,"Nurse, Office Administrator,<br>
Social Worker, Teacher<br><br>

More (The Helper) :<br>
Personal Trailer, Funeral Director, Court Reporter,<br>
Athletic Coach, Flight Attendant, Legal Assistant,<br>
Childcare Provider",Ori-H3
Ori-H4-Sub,,"Andrew Carnegie, Barbara Walters, Desmond Tutu, Elton John,<br>
Nancy Kerrigan, Prince William, Pope Francis, Whitney Houston",Ori-H4
Ori-H5-Sub,,"Happiness is only real when it is shared.<br>
- Jon Krakauer",Ori-H5
Ori-H6-Sub,,,Ori-H6
Ori-I1-Sub,,"Extraverted Intuitive Thinking Perceiving (ENTP)<br><br>

Acronym : Every New Thought Propels<br><br>

ENTP's are quick to see complex interrelationships between people, things,<br>
and ideas and are able to analyze these interrelationships in profound detail.<br><br>

ENTP's are frequently described as clever, cerebrally and verbally quick,<br>
enthusiastic, outgoing, innovative, flexible, loyal and resourceful.<br><br>

ENTP's are motivated by a desire to understand and improve the world they live in.<br>
They are usually accurate in sizing up a situation. They may have a perverse<br>
sense of humor and sometimes play devil's advocate.",Ori-I1
Ori-I2-Sub,,"Can see possibilities everywhere.<br>
Size up situations quickly.<br>
Love to debate ideas.<br>
Able to spread their enthusiasm to others.<br>",Ori-I2
Ori-I3-Sub,,"Engineer, Entrepeneur, Inventor,<br>
Lawyer, Scientist<br><br>

More (The Inventor) :<br>
Market Researcher, Venture Capitalist, Strategic Planner,<br>
HR Manager, Producer, City Planner, Hotel Manager",Ori-I3
Ori-I4-Sub,,"Amy Poehler, Barack Obama, Ben Franklin, Harry Connick Jr,<br>
Leonardo Da Vinci, Neil Patrick Harris, Sir Walter Raleigh,<br>
Stephen Colbert, Steve Wozniak, Theodore Roosevelt",Ori-I4
Ori-I5-Sub,,"It is better to deabate a question without settling it<br>
thatto settle a question without debating it.<br>
- Joseph Joubert",Ori-I5
Ori-I6-Sub,,,Ori-I6
Ori-J1-Sub,,"Introverted Intuitive Thinking Perceiving (INTP)<br><br>

Acronym : I Need To Ponder<br><br>

INTP's are quiet, thoughtful, analytical individuals who tend to spend long periods<br>
of time on their own, working through problems and forming solutions.<br><br>

They generally balk at attempts by others to convince them to change.<br>
They also tend to be impatient with the bureaucracy, rigid hierarchies,<br>
and the politics prevalent in many professions.<br><br>

INTP's organize their understanding of any topic by articulating principles,<br>
and they are especially drawn to theoretical constructs.",Ori-J1
Ori-J2-Sub,,"Live in the world of theoretical possibilities.<br>
INTPs are driven to build knowledge.<br>
Do not like to lead or control people.<br>
Usually not in-tune with people's feelings.<br>",Ori-J2
Ori-J3-Sub,,"Engineer, College Professor, Psychologist,<br>
Researcher, Scientist<br><br>

More (The Scientist) :<br>
College Professor, Mathematician, Financial Analyst,<br>
Chemist, Lawyer/Judge, Researcher, Physicist",Ori-J3
Ori-J4-Sub,,"Albert Einstein, Carl Jung, Charles Darwin, Ellen Page,<br>
George Soros, Jimmy Wales, Larry Page, Liam Gallagher,<br>
M.I.A, Thucydides, Tina Fey",Ori-J4
